Name,Manufacturer,Version,Date,Platform,Class,WHQLSigned,enable,Hash,guid
Aquantia Net aqnic650.inf 2.1.021.0,Aquantia,2.1.021.0,2/7/2020,x64,Net,TRUE,TRUE,5AF2D2E4ECD37BA1E98356605C9294C9EA2AE6584EB6BA06CBF177B4442681DA,{c4a87702-a93d-45bb-a3bf-bf51495017c3}
AVAGO TECH. SCSIAdapter MegaSas35.inf 7.723.02.00,AVAGO TECH.,7.723.02.00,10/3/2022,x64,SCSIAdapter,TRUE,TRUE,BE85E90474BFFC67AA13A4C7C721486A4DD0610010551507F9CD9F3178D4C190,{9c5b04c5-0e0e-4f76-baa8-84953597e401}
Broadcom Limited SCSIAdapter mpi3drv.inf 8.08.07.00,Broadcom Limited,8.08.07.00,1/5/2024,x64,SCSIAdapter,TRUE,TRUE,819BE1F056A3E3487CF7637A74AA06A835A5C40161FE2A28ADBD5F766DDE3E7C,{57146996-cfa3-4fa2-9651-05603cd102ec}
Broadcom Limited System mpi3nodrv.inf 8.08.07.00,Broadcom Limited,8.08.07.00,1/5/2024,"x86,x64",System,TRUE,TRUE,819BE1F056A3E3487CF7637A74AA06A835A5C40161FE2A28ADBD5F766DDE3E7C,{513d4b86-fde1-4faf-95cf-ca314bd1fbce}
Intel Corporation Extension iaStorHsa_Ext.inf 20.0.0.1037,Intel Corporation,20.0.0.1037,10/13/2023,x64,Extension,TRUE,TRUE,0F1BD122050F10884CC3E38BD2AFEAC076F3BC8029BDFB0EDAC29E9B7E9F7C05,{e953b2e5-1111-4dc4-b0e0-feba43f8d16a}
Intel Corporation HDC iaAHCIC.inf 17.11.0.1000,Intel Corporation,17.11.0.1000,9/30/2021,x64,HDC,TRUE,TRUE,5AF69BE28DFC7BC91DE8134828F0461FED58D94961EBA236746E2F0DA9A8CEFF,{ea3d91dd-2e2b-4ddf-8f01-218fad96a915}
Intel Corporation HDC iaAHCIC.inf 18.37.1.1003,Intel Corporation,18.37.1.1003,1/13/2022,x64,HDC,TRUE,TRUE,8B0F79CC00BDF4F0D57233859C2DC4621855EFE21262BA538E5310867259AE22,{4a44b294-af21-4d4f-b35b-de7899cf57a2}
Intel Corporation SCSIAdapter iaStorAC.inf 17.11.0.1000,Intel Corporation,17.11.0.1000,9/30/2021,x64,SCSIAdapter,TRUE,TRUE,5AF69BE28DFC7BC91DE8134828F0461FED58D94961EBA236746E2F0DA9A8CEFF,{ec29a75d-df3f-4310-8a85-5c68a64ab50d}
Intel Corporation SCSIAdapter iaStorAC.inf 18.37.1.1003,Intel Corporation,18.37.1.1003,1/13/2022,x64,SCSIAdapter,TRUE,TRUE,EC3859E9C700C241956202DE29900CBA25F73BE1ED29DBF05C1AB8044C45111F,{738ee8dd-da40-4a8d-8d5b-2744ed9fc5f9}
Intel Corporation SCSIAdapter iaStorB.inf 8.0.4.1006,Intel Corporation,8.0.4.1006,12/8/2022,x64,SCSIAdapter,TRUE,TRUE,B0DA3FA5C3CD054B825C7DB4525162A6E866F3CE639042DAE082B356EDA9D2A6,{cd90f480-37c5-4cc4-ac6d-a49e6faf546f}
Intel Corporation SCSIAdapter iaStorE.inf 8.0.4.1006,Intel Corporation,8.0.4.1006,12/8/2022,x64,SCSIAdapter,TRUE,TRUE,B0DA3FA5C3CD054B825C7DB4525162A6E866F3CE639042DAE082B356EDA9D2A6,{1db8dead-dd48-41a5-ba2b-42ea2cd9f483}
Intel Corporation SCSIAdapter iaStorT.inf 8.0.4.1006,Intel Corporation,8.0.4.1006,12/8/2022,x64,SCSIAdapter,TRUE,TRUE,B0DA3FA5C3CD054B825C7DB4525162A6E866F3CE639042DAE082B356EDA9D2A6,{8a12583d-0657-4314-a92f-535819bb6307}
Intel Corporation SCSIAdapter iaStorVD.inf 19.5.1.1040,Intel Corporation,19.5.1.1040,8/25/2022,x64,SCSIAdapter,TRUE,TRUE,E5E83B1829D9F25176F0AA0918AE0CFBDC1778A3B7FBA8BFE4ECE2C069CCD5C1,{10c8c633-0a02-4a0d-9bf7-b2ce7591ac80}
Intel Corporation SCSIAdapter iaStorVD.inf 20.0.0.1037,Intel Corporation,20.0.0.1037,10/13/2023,x64,SCSIAdapter,TRUE,TRUE,D2281193EDB436684A907C4A57197B605341435FEE90848401AD206AA7B844E5,{577aae23-3e86-4caf-83c6-48953e328057}
Intel Corporation SCSIAdapter iaVROC.inf 8.0.4.1006,Intel Corporation,8.0.4.1006,12/8/2022,x64,SCSIAdapter,TRUE,TRUE,B0DA3FA5C3CD054B825C7DB4525162A6E866F3CE639042DAE082B356EDA9D2A6,{6aa478de-7fd1-44a8-b8cd-13648734e0d6}
Intel Corporation SoftwareComponent iaStorHsaComponent.inf 20.0.0.1037,Intel Corporation,20.0.0.1037,10/13/2023,x64,SoftwareComponent,TRUE,TRUE,CEAA2D151BFFA7D80F9A98253D2A571714B9CA15AFC30A9C7E951F428E8ABC8E,{be27baa5-4577-46f2-ac71-b7dcaf018f73}
Intel Corporation System iaNullVMD.inf 8.0.0.4028,Intel Corporation,8.0.0.4028,11/4/2022,x64,System,TRUE,TRUE,B0DA3FA5C3CD054B825C7DB4525162A6E866F3CE639042DAE082B356EDA9D2A6,{2ae5b80d-0865-4f57-9c06-f017c1ec8483}
Intel Net e1d.inf 12.19.2.45,Intel,12.19.2.45,1/30/2022,x64,Net,TRUE,TRUE,58C3639F9923B7702144D9D803BB9362C183F7FFC5953597AC503D8D6AAC5B93,{cc42e43b-18b7-48c7-a7da-014dbc58c977}
Intel Net e1d.inf 12.19.2.61,Intel,12.19.2.61,5/5/2024,x64,Net,TRUE,TRUE,90B238903E49F6E53FD957631F5D00B5028C42975E04CD0EA5028853D6D65676,{2df9e164-2c27-4cd3-89e1-029e00a9c910}
Intel Net e1dn.inf 20.0.2.19,Intel,20.0.2.19,6/26/2024,x64,Net,TRUE,TRUE,90B238903E49F6E53FD957631F5D00B5028C42975E04CD0EA5028853D6D65676,{ec3bcfa6-d2e9-4f29-84f3-3a853934700d}
Intel Net e1r.inf 13.0.14.0,Intel,13.0.14.0,2/24/2022,x64,Net,TRUE,TRUE,4D0FBC842797B2E4B877478D412C0F80BD0758AC0369FB50F72B1D2E55491D5E,{278eb95a-eba2-488c-b20d-a7e3460e4f84}
Intel Net e1r.inf 13.0.14.0 (1),Intel,13.0.14.0,2/24/2022,x64,Net,TRUE,TRUE,A4011C451C9AEC16DB70773C99F2F53AB5F66A4FBA96D67A419D909282B3E771,{819daa1b-0df2-4dad-9f55-68ff4e9eaefc}
Intel Net e1r68x64.inf 12.18.13.0,Intel,12.18.13.0,8/29/2022,x64,Net,TRUE,TRUE,4C46C0AF4690C6C166181BD718D2F598C5162978D2BF721B8F7FA2AD51431B0C,{7eb95703-4880-46b5-90f3-62d9bad036ea}
Intel Net e2f.inf 1.1.3.34,Intel,1.1.3.34,8/11/2022,x64,Net,TRUE,TRUE,597134BE944338E3452307FECFCFD712D5E5C42DE17BCD07A3FF4704CFDE0D6E,{fa000148-24e5-4956-b007-6db026cbf3fc}
Intel Net i40ea.inf 1.17.84.0,Intel,1.17.84.0,9/22/2022,x64,Net,TRUE,TRUE,2E50AA372D91323FB60C1CED8ACDFCF755616ACDA783907045FB96C5471DF8CA,{4429050e-3883-4214-a3fb-1b051500b7a1}
Intel Net i40ea68.inf 1.16.202.5,Intel,1.16.202.5,9/8/2022,x64,Net,TRUE,TRUE,49BA1AE33D39A005C25DD90A4758330ED7AB210D4B857A1B9FE6ECA597B425BA,{bf8747a7-9b53-47f7-b54f-c1a0a4423bb7}
Intel Net icea.inf 1.12.148.0,Intel,1.12.148.0,10/4/2022,x64,Net,TRUE,TRUE,655631EBF834A72C7DEE4D2868E92F9B817087E592867BD6CCADD17C646A6D1B,{6dbe0461-28a3-4a2b-ade1-757ceceb4728}
Intel Net icea68.inf 1.12.148.0,Intel,1.12.148.0,10/4/2022,x64,Net,TRUE,TRUE,624FAA0A211D590500E7A3CDE9D8D81E29C4474AB306D170F62050A08F1E1A9A,{ccc2e097-74f2-439e-af41-261abf057f16}
Intel Net ixs.inf 4.1.248.0,Intel,4.1.248.0,11/4/2021,x64,Net,TRUE,TRUE,783F89FC2718172CCD64C60FE49DDC87C85F3DEE05D0BA16163B4645C1452732,{4a374ef3-7043-4c1a-8666-b25d45acc62d}
Intel Net ixs68x64.inf 4.1.246.2,Intel,4.1.246.2,7/19/2022,x64,Net,TRUE,TRUE,464C6779B346CDCCFB59FC09234B39B628BFCF7947D7926BE160173A8EBBB7D0,{1bcf81ec-de9b-4b1c-9729-561b2ff27736}
LSI Corp. System nodev.inf 7.723.02.00,LSI Corp.,7.723.02.00,10/3/2022,"x86,x64",System,TRUE,TRUE,BE85E90474BFFC67AA13A4C7C721486A4DD0610010551507F9CD9F3178D4C190,{88c357e0-74e6-4cc7-80de-6fc18279ccfe}
Marvell Net aqnic650.inf 3.1.7.0,Marvell,3.1.7.0,6/2/2022,x64,Net,TRUE,TRUE,5203B2CABFA49C08CFF2ACE6575ECD17809EE75DA2A047F6E5288F1243B85DB9,{cbcece10-5bdb-438f-9028-fda41625f7d0}
Realtek Net rt25cx21x64.inf 1125.013.0424.2023,Realtek,1125.013.0424.2023,4/24/2023,x64,Net,TRUE,TRUE,E9248BD956769C091E5A310D24829E09B7A824D1A149E10127BFF670C7ABF28E,{ff1730bc-d2b3-4e9a-9939-56e15104061e}
Realtek Net rt25dcx21x64.inf 1124.013.0424.2023,Realtek,1124.013.0424.2023,4/24/2023,x64,Net,TRUE,TRUE,E9248BD956769C091E5A310D24829E09B7A824D1A149E10127BFF670C7ABF28E,{2050e5e7-a144-4027-b3ba-92edab77b581}
Realtek Net rt26cx21x64.inf 1126.013.0424.2023,Realtek,1126.013.0424.2023,4/24/2023,x64,Net,TRUE,TRUE,E9248BD956769C091E5A310D24829E09B7A824D1A149E10127BFF670C7ABF28E,{6dc49517-bf5e-4238-abf0-34a5f74a5ecb}
Realtek Net rt640x64.inf 10.037.1028.2019,Realtek,10.037.1028.2019,10/28/2019,x64,Net,TRUE,TRUE,8F3BA042F18297D95B7E680CF49D69D3F4A52D39DA77824E59305D62840A8F34,{05f0e277-d042-4211-8e87-f3d6abfdeed7}
Realtek Net rt640x64.inf 10.038.1118.2019,Realtek,10.038.1118.2019,11/18/2019,x64,Net,TRUE,TRUE,631B01CF55C035434D5573683230EEF5202A50E607C5BF77DF2698B5DBAC5F79,{1471eb66-dc98-43c6-8abc-cbf6df728714}
Realtek Net rt640x64.inf 10.056.0119.2022,Realtek,10.056.0119.2022,1/19/2022,x64,Net,TRUE,TRUE,6344ABD21D9D21AE1BA3276AC19E0EDB7BE90D68B38C21D35F27B5ACED99B9FB,{51294dea-d4fb-4d7c-92f2-4c08ba02a7be}
Realtek Net rt640x64.inf 10.057.0330.2022,Realtek,10.057.0330.2022,3/30/2022,x64,Net,TRUE,TRUE,637B94AF504F4FA3334C59E7C30FD2190D097D452FD61070317AC8EF301833A9,{80acda5f-f501-4636-96ee-b739364a2cdd}
Realtek Net rt640x64.inf 10.060.0615.2022,Realtek,10.060.0615.2022,6/15/2022,x64,Net,TRUE,TRUE,F9B1D54151CBB0747A5895E6518B2C883A74503A52FF6E77C3181FB5BD56639A,{b4a1fe00-0b21-4e14-afa0-09cfd86b79d2}
Realtek Net rt68cx21x64.inf 1168.013.0424.2023,Realtek,1168.013.0424.2023,4/24/2023,x64,Net,TRUE,TRUE,E9248BD956769C091E5A310D24829E09B7A824D1A149E10127BFF670C7ABF28E,{051d0570-f2fc-496c-bf6d-ca8bd962abf1}
Realtek Net rt68dcx21x64.inf 1166.013.0424.2023,Realtek,1166.013.0424.2023,4/24/2023,x64,Net,TRUE,TRUE,E9248BD956769C091E5A310D24829E09B7A824D1A149E10127BFF670C7ABF28E,{a4177240-b796-4d46-bab0-27cb5f784324}
Realtek Net rtots640x64.inf 10.065.0421.2023,Realtek,10.065.0421.2023,4/21/2023,x64,Net,TRUE,TRUE,E9248BD956769C091E5A310D24829E09B7A824D1A149E10127BFF670C7ABF28E,{b9a1a1a1-a0bf-4f98-954f-7ee9a32bc0ff}
Realtek Net rtu52cx22x64.INF 1152.15.0327.2024,Realtek,1152.15.0327.2024,3/27/2024,x64,Net,TRUE,TRUE,2B4AE286ECA5B118C3260FA65FC834106F88254C0D7B8BBBECC7C83827942B61,{92dab5f1-621a-4988-b4bc-406a60bfb7a2}
Realtek Net rtu53cx22x64.INF 1153.15.0327.2024,Realtek,1153.15.0327.2024,5/13/2024,x64,Net,TRUE,TRUE,2B4AE286ECA5B118C3260FA65FC834106F88254C0D7B8BBBECC7C83827942B61,{3e1b6a0a-fd15-4fcb-bbaf-71c3079e2b33}
Realtek Net rtu55cx22x64.INF 1155.15.0327.2024,Realtek,1155.15.0327.2024,3/27/2024,x64,Net,TRUE,TRUE,2B4AE286ECA5B118C3260FA65FC834106F88254C0D7B8BBBECC7C83827942B61,{9b616734-13ca-49ca-aa5c-6a73408973c3}
Realtek Net rtu56cx22x64.INF 1156.15.0327.2024,Realtek,1156.15.0327.2024,3/27/2024,x64,Net,TRUE,TRUE,2B4AE286ECA5B118C3260FA65FC834106F88254C0D7B8BBBECC7C83827942B61,{d15a3c26-c5cc-4cbb-8ad3-72ec0a25ba24}
Realtek Net rtump64x64.INF 10.48.0914.2021,Realtek,10.48.0914.2021,9/14/2021,x64,Net,TRUE,TRUE,CA1A3A0D5C40414AE047243934FADF63E2151B8C9F27FB493A017AEF993F7AEE,{76b4bc28-791d-4109-b0d3-9d5c6afddd5d}
